ID;Name;ChallengeRating;ChallengeXP;ACType;AC;STR;STRMod;DEX;DEXMod;CON;CONMod;INT;INTMod;WIS;WISMod;CHA;CHAMod;HPDice;HP
1;Adult Red Dragon;17;18000;natural armor;19;27;8;10;0;25;7;16;3;13;1;21;5;19d12 + 133;256
2;Stone Golem;10;5900;natural armor;17;22;6;9;-1;20;5;3;-4;11;0;1;-5;17d10 + 85;178
3;Fire Giant;9;5000;plate;18;25;7;9;-1;23;6;10;0;14;2;13;1;13d12 + 78;162
4;Hydra;8;3900;natural armor;15;20;5;12;1;20;5;2;-4;10;0;7;-2;15d12 + 75;172
5;Frost Giant;8;3900;patchwork armor;15;23;6;9;-1;21;5;9;-1;10;0;12;1;12d12 + 60;138
6;Young Green Dragon;8;3900;natural armor;18;19;4;12;1;17;3;16;3;13;1;15;2;16d10 + 48;136
7;Tyrannosaurus Rex;8;3900;natural armor;13;25;7;10;0;19;4;2;-4;12;1;9;-1;13d12 + 52;136
8;Giant Ape;7;2900;;12;23;6;14;2;18;4;7;-2;12;1;7;-2;15d12 + 60;157
9;Cyclops;6;2300;natural armor;14;22;6;11;0;20;5;8;-1;6;-2;10;0;12d12 + 60;138
10;Medusa;6;2300;natural armor;15;10;0;15;2;16;3;12;1;13;1;15;2;17d8 + 51;127
11;Mammoth;6;2300;natural armor;13;24;7;9;-1;21;5;3;-4;11;0;6;-2;11d12 + 55;126
12;Chimera;6;2300;natural armor;14;19;4;11;0;19;4;3;-4;14;2;10;0;12d10 + 48;114
13;Wyvern;6;2300;natural armor;13;19;4;10;0;16;3;5;-3;12;1;6;-2;13d10 + 39;110
14;Earth Elemental;5;1800;natural armor;17;20;5;8;-1;20;5;5;-3;10;0;5;-3;12d10 + 60;126
15;Giant Shark;5;1800;natural armor;13;23;6;11;0;21;5;1;-5;10;0;5;-3;11d12 + 55;126
16;Water Elemental;5;1800;natural armor;14;18;4;14;2;18;4;5;-3;10;0;8;-1;12d10 + 48;114
17;Hill Giant;5;1800;natural armor;13;21;5;8;-1;19;4;5;-3;9;-1;6;-2;10d12 + 40;105
18;Fire Elemental;5;1800;;13;10;0;17;3;16;3;6;-2;10;0;7;-2;12d10 + 36;102
19;Triceratops;5;1800;natural armor;13;22;6;9;-1;17;3;2;-4;11;0;5;-3;10d12 + 30;95
20;Flesh Golem;5;1800;;9;19;4;9;-1;18;4;6;-2;10;0;5;-3;11d8 + 44;93
21;Air Elemental;5;1800;;15;14;2;20;5;14;2;6;-2;10;0;6;-2;12d10 + 24;90
22;Giant Crocodile;5;1800;natural armor;14;21;5;9;-1;17;3;2;-4;10;0;7;-2;9d12 + 27;85
23;Troll;5;1800;natural armor;15;18;4;13;1;20;5;7;-2;9;-1;7;-2;8d10 + 40;84
24;Elephant;4;1100;natural armor;12;22;6;9;-1;17;3;3;-4;11;0;6;-2;8d12 + 24;76
25;Banshee;4;1100;;12;1;-5;14;2;10;0;12;1;11;0;17;3;13d8;58
26;Ghost;4;1100;;11;7;-2;13;1;10;0;10;0;12;1;17;3;10d8;45
27;Flameskull;4;1100;;13;1;-5;17;3;14;2;16;3;10;0;11;0;9d4 + 18;40
28;Killer Whale;3;700;natural armor;12;19;4;10;0;13;1;3;-4;12;1;7;-2;12d12 + 12;90
29;Minotaur;3;700;natural armor;14;18;4;11;0;16;3;6;-2;16;3;9;-1;9d10 + 27;76
30;Winter Wolf;3;700;natural armor;13;18;4;13;1;14;2;7;-2;12;1;8;-1;10d10 + 20;75
31;Ankylosaurus;3;700;natural armor;15;19;4;11;0;15;2;2;-4;12;1;5;-3;8d12 + 16;68
32;Manticore;3;700;natural armor;14;17;3;16;3;17;3;7;-2;12;1;8;-1;8d10 + 24;68
33;Owlbear;3;700;natural armor;13;20;5;12;1;17;3;3;-4;12;1;7;-2;7d10 + 21;59
34;Werewolf;3;700;natural armor;12;15;2;13;1;14;2;10;0;11;0;10;0;9d8 + 18;58
35;Mummy;3;700;natural armor;11;16;3;8;-1;15;2;6;-2;10;0;12;1;9d8 + 18;58
36;Doppelganger;3;700;;14;11;0;18;4;14;2;11;0;12;1;14;2;8d8 + 16;52
37;Basilisk;3;700;natural armor;15;16;3;8;-1;15;2;2;-4;8;-1;7;-2;8d8 + 16;52
38;Giant Scorpion;3;700;natural armor;15;15;2;13;1;15;2;1;-5;9;-1;3;-4;7d10 + 14;52
39;Yeti;3;700;natural armor;12;18;4;13;1;16;3;8;-1;12;1;7;-2;6d10 + 18;51
40;Hell Hound;3;700;natural armor;15;17;3;12;1;14;2;6;-2;13;1;6;-2;7d8 + 14;45
41;Wight;3;700;studded leather;14;15;2;14;2;16;3;10;0;13;1;15;2;6d8 + 18;45
42;Spectator;3;700;natural armor;14;8;-1;14;2;14;2;13;1;14;2;11;0;6d8 + 12;39
43;Phase Spider;3;700;natural armor;13;15;2;15;2;12;1;6;-2;10;0;6;-2;5d10 + 5;32
44;Plesiosaurus;2;450;natural armor;13;18;4;15;2;16;3;2;-4;12;1;5;-3;8d10 + 24;68
45;Giant Constrictor Snake;2;450;;12;19;4;14;2;12;1;1;-5;10;0;3;-4;8d12 + 8;60
46;Awakened Tree;2;450;natural armor;13;19;4;6;-2;15;2;10;0;10;0;7;-2;7d12 + 14;59
47;Griffon;2;450;;12;18;4;15;2;16;3;2;-4;13;1;8;-1;7d10 + 21;59
48;Pegasus;2;450;;12;18;4;15;2;16;3;10;0;15;2;13;1;7d10 + 21;59
49;Ogre;2;450;hide armor;11;19;4;8;-1;16;3;5;-3;7;-2;7;-2;7d10 + 21;59
50;Gargoyle;2;450;natural armor;15;15;2;11;0;16;3;6;-2;11;0;7;-2;7d8 + 21;52
51;Saber-Toothed Tiger;2;450;;12;18;4;14;2;15;2;3;-4;12;1;8;-1;7d10 + 14;52
52;Allosaurus;2;450;natural armor;13;19;4;13;1;17;3;2;-4;12;1;5;-3;6d10 + 18;51
53;Nothic;2;450;natural armor;15;14;2;16;3;16;3;13;1;10;0;8;-1;6d8 + 18;45
54;Centaur;2;450;;12;18;4;14;2;14;2;9;-1;13;1;11;0;6d10 + 12;45
55;Hunter Shark;2;450;natural armor;12;18;4;13;1;15;2;1;-5;10;0;4;-3;6d10 + 12;45
56;Rhinoceros;2;450;natural armor;11;21;5;8;-1;15;2;2;-4;12;1;6;-2;6d10 + 12;45
57;Ochre Jelly;2;450;;8;15;2;6;-2;14;2;2;-4;6;-2;1;-5;6d10 + 12;45
58;Giant Elk;2;450;natural armor;14;19;4;16;3;14;2;7;-2;14;2;10;0;5d12 + 10;42
59;Polar Bear;2;450;natural armor;12;20;5;10;0;16;3;2;-4;13;1;7;-2;5d10 + 15;42
60;Giant Boar;2;450;natural armor;12;17;3;10;0;16;3;2;-4;7;-2;5;-3;5d10 + 15;42
61;Swarm of Poisonous Snakes;2;450;;14;8;-1;18;4;11;0;1;-5;10;0;3;-4;8d8;36
62;Grick;2;450;natural armor;14;14;2;14;2;11;0;3;-4;14;2;5;-3;6d8;27
63;Giant Octopus;1;200;;11;17;3;13;1;13;1;4;-3;10;0;4;-3;8d10 + 8;52
64;Giant Hyena;1;200;;12;16;3;14;2;14;2;2;-4;12;1;7;-2;6d10 + 12;45
65;Death Dog;1;200;;12;15;2;14;2;14;2;3;-4;13;1;6;-2;6d8 + 12;39
66;Giant Toad;1;200;;11;15;2;13;1;13;1;2;-4;10;0;3;-4;6d10 + 6;39
67;Harpy;1;200;;11;12;1;13;1;12;1;7;-2;10;0;13;1;7d8 + 7;38
68;Dire Wolf;1;200;natural armor;14;17;3;15;2;15;2;3;-4;12;1;7;-2;5d10 + 10;37
69;Tiger;1;200;;12;17;3;15;2;14;2;3;-4;12;1;8;-1;5d10 + 10;37
70;Brown Bear;1;200;natural armor;11;19;4;10;0;16;3;2;-4;13;1;7;-2;4d10 + 12;34
71;Animated Armor;1;200;natural armor;18;14;2;11;0;13;1;1;-5;3;-4;1;-5;6d8 + 6;33
72;Swarm of Quippers;1;200;;13;13;1;16;3;9;-1;1;-5;7;-2;2;-4;8d8 - 8;28
73;Bugbear;1;200;hide armor, shield;16;15;2;14;2;13;1;8;-1;11;0;9;-1;5d8 + 5;27
74;Giant Eagle;1;200;;13;16;3;17;3;13;1;8;-1;14;2;10;0;4d10 + 4;26
75;Giant Spider;1;200;natural armor;14;14;2;16;3;12;1;2;-4;11;0;4;-3;4d10 + 4;26
76;Lion;1;200;;12;17;3;15;2;13;1;3;-4;12;1;8;-1;4d10 + 4;26
77;Ghoul;1;200;;12;13;1;15;2;10;0;7;-2;10;0;6;-2;5d8;22
78;Giant Vulture;1;200;;10;15;2;10;0;15;2;6;-2;12;1;7;-2;3d10 + 6;22
79;Hippogriff;1;200;;11;17;3;13;1;13;1;2;-4;12;1;8;-1;3d10 + 3;19
80;Satyr;0,5;100;leather armor;14;12;1;16;3;11;0;12;1;10;0;14;2;7d8;31
81;Cockatrice;0,5;100;;11;6;-2;12;1;12;1;2;-4;13;1;5;-3;6d6 + 6;27
82;Worg;0,5;100;natural armor;13;16;3;13;1;13;1;7;-2;11;0;8;-1;4d10 + 4;26
83;Swarm of Insects;0,5;100;natural armor;12;3;-4;13;1;10;0;1;-5;7;-2;1;-5;5d8;22
84;Gnoll;0,5;100;hide armor, shield;15;14;2;12;1;11;0;6;-2;10;0;7;-2;5d8;22
85;Reef Shark;0,5;100;natural armor;12;14;2;13;1;13;1;1;-5;10;0;4;-3;4d8 + 4;22
86;Lizardfolk;0,5;100;natural armor, shield;15;15;2;10;0;13;1;7;-2;12;1;7;-2;4d8 + 4;22
87;Ape;0,5;100;;12;16;3;14;2;14;2;6;-2;12;1;7;-2;3d8 + 6;19
88;Black Bear;0,5;100;natural armor;11;15;2;10;0;14;2;2;-4;12;1;7;-2;3d8 + 6;19
89;Warhorse;0,5;100;;11;18;4;12;1;13;1;2;-4;12;1;7;-2;3d10 + 3;19
90;Giant Goat;0,5;100;natural armor;11;17;3;11;0;12;1;3;-4;12;1;6;-2;3d10 + 3;19
91;Crocodile;0,5;100;natural armor;12;15;2;10;0;13;1;2;-4;10;0;5;-3;3d10 + 3;19
92;Giant Sea Horse;0,5;100;natural armor;13;12;1;15;2;11;0;2;-4;12;1;5;-3;3d10;16
93;Orc;0,5;100;hide armor;13;16;3;12;1;16;3;7;-2;11;0;10;0;2d8 + 6;15
94;Giant Wasp;0,5;100;;12;10;0;14;2;10;0;1;-5;10;0;3;-4;3d8;13
95;Hobgoblin;0,5;100;chain mail, shield;18;13;1;12;1;12;1;10;0;10;0;9;-1;2d8 + 2;11
96;Swarm of Ravens;0,25;50;;12;6;-2;14;2;8;-1;3;-4;12;1;6;-2;7d8 - 7;24
97;Swarm of Rats;0,25;50;;10;9;-1;11;0;9;-1;2;-4;10;0;3;-4;7d8 - 7;24
98;Swarm of Bats;0,25;50;;12;5;-3;15;2;10;0;2;-4;12;1;4;-3;5d8;22
99;Blink Dog;0,25;50;;13;12;1;17;3;12;1;10;0;13;1;11;0;4d8 + 4;22
100;Giant Bat;0,25;50;;13;15;2;16;3;11;0;2;-4;12;1;6;-2;4d10;22
101;Zombie;0,25;50;;8;13;1;6;-2;16;3;3;-4;6;-2;5;-3;3d8 + 9;22
102;Giant Owl;0,25;50;;12;13;1;15;2;12;1;8;-1;13;1;10;0;3d10 + 3;19
103;Axe Beak;0,25;50;;11;14;2;12;1;12;1;2;-4;10;0;5;-3;3d10 + 3;19
104;Giant Lizard;0,25;50;natural armor;12;15;2;12;1;13;1;2;-4;10;0;5;-3;3d10 + 3;19
105;Draft Horse;0,25;50;;10;18;4;10;0;12;1;2;-4;11;0;7;-2;3d10 + 3;19
106;Giant Frog;0,25;50;;11;12;1;13;1;11;0;2;-4;10;0;3;-4;4d8;18
107;Flying Sword;0,25;50;natural armor;17;12;1;15;2;11;0;1;-5;5;-3;1;-5;5d6;17
108;Panther;0,25;50;;12;14;2;15;2;10;0;3;-4;14;2;7;-2;3d8;13
109;Pteranodon;0,25;50;natural armor;13;12;1;15;2;10;0;2;-4;9;-1;5;-3;3d8;13
110;Skeleton;0,25;50;armor scraps;13;10;0;14;2;15;2;6;-2;8;-1;5;-3;2d8 + 4;13
111;Giant Badger;0,25;50;;10;13;1;10;0;15;2;2;-4;12;1;5;-3;2d8 + 4;13
112;Constrictor Snake;0,25;50;;12;15;2;14;2;12;1;1;-5;10;0;3;-4;2d10 + 2;13
113;Elk;0,25;50;;10;16;3;10;0;12;1;2;-4;10;0;6;-2;2d10 + 2;13
114;Riding Horse;0,25;50;;10;16;3;10;0;12;1;2;-4;11;0;7;-2;2d10 + 2;13
115;Giant Poisonous Snake;0,25;50;;14;10;0;18;4;13;1;2;-4;10;0;3;-4;2d8 + 2;11
116;Giant Wolf Spider;0,25;50;;13;12;1;16;3;13;1;3;-4;12;1;4;-3;2d8 + 2;11
117;Wolf;0,25;50;natural armor;13;12;1;15;2;12;1;3;-4;12;1;6;-2;2d8 + 2;11
118;Boar;0,25;50;natural armor;11;13;1;11;0;12;1;2;-4;9;-1;5;-3;2d8 + 2;11
119;Goblin;0,25;50;leather armor, shield;15;8;-1;14;2;10;0;10;0;8;-1;8;-1;2d6;7
120;Giant Centipede;0,25;50;natural armor;13;5;-3;14;2;12;1;1;-5;7;-2;3;-4;1d6 + 1;4
121;Camel;0,125;25;;9;16;3;8;-1;14;2;2;-4;8;-1;5;-3;2d10 + 4;15
122;Giant Crab;0,125;25;natural armor;15;13;1;15;2;11;0;1;-5;9;-1;3;-4;3d8;13
123;Merfolk;0,125;25;;11;10;0;13;1;12;1;11;0;11;0;12;1;2d8 + 2;11
124;Mule;0,125;25;;10;14;2;10;0;13;1;2;-4;10;0;5;-3;2d8 + 2;11
125;Pony;0,125;25;;10;15;2;10;0;13;1;2;-4;11;0;7;-2;2d8 + 2;11
126;Giant Weasel;0,125;25;;13;11;0;16;3;10;0;4;-3;12;1;5;-3;2d8;9
127;Giant Rat;0,125;25;;12;7;-2;15;2;11;0;2;-4;10;0;4;-3;2d6;7
128;Blood Hawk;0,125;25;;12;6;-2;14;2;10;0;3;-4;14;2;5;-3;2d6;7
129;Kobold;0,125;25;;12;7;-2;15;2;9;-1;8;-1;7;-2;8;-1;2d6 - 2;5
130;Flying Snake;0,125;25;;14;4;-3;18;4;11;0;2;-4;12;1;5;-3;2d4;5
131;Mastiff;0,125;25;;12;13;1;14;2;12;1;3;-4;12;1;7;-2;1d8 + 1;5
132;Twig Blight;0,125;25;natural armor;13;6;-2;13;1;12;1;4;-3;8;-1;3;-4;1d6 + 1;4
133;Stirge;0,125;25;natural armor;14;4;-3;16;3;11;0;2;-4;8;-1;6;-2;1d4;2
134;Poisonous Snake;0,125;25;;13;2;-4;16;3;11;0;1;-5;10;0;3;-4;1d4;2
135;Awakened Shrub;0;10;;9;3;-4;8;-1;11;0;10;0;10;0;6;-2;3d6;10
136;Hyena;0;10;;11;11;0;13;1;12;1;2;-4;12;1;5;-3;1d8 + 1;5
137;Vulture;0;10;;10;7;-2;10;0;13;1;2;-4;12;1;4;-3;1d8 + 1;5
138;Deer;0;10;;13;11;0;16;3;11;0;2;-4;14;2;5;-3;1d8;4
139;Goat;0;10;;10;12;1;10;0;11;0;2;-4;10;0;5;-3;1d8;4
140;Giant Fire Beetle;0;10;natural armor;13;8;-1;10;0;12;1;1;-5;7;-2;3;-4;1d6 + 1;4
141;Jackal;0;10;;12;8;-1;15;2;11;0;3;-4;12;1;6;-2;1d6;3
142;Eagle;0;10;;12;6;-2;15;2;10;0;2;-4;14;2;7;-2;1d6;3
143;Octopus;0;10;;12;4;-3;15;2;11;0;3;-4;10;0;4;-3;1d6;3
144;Baboon;0;10;;12;8;-1;14;2;11;0;4;-3;12;1;6;-2;1d6;3
145;Badger;0;10;;10;4;-3;11;0;12;1;2;-4;12;1;5;-3;1d4 + 1;3
146;Cat;0;10;;12;3;-4;15;2;10;0;3;-4;12;1;7;-2;1d4;2
147;Crab;0;10;natural armor;11;2;-4;11;0;10;0;1;-5;8;-1;2;-4;1d4;2
148;Lizard;0;10;;10;2;-4;11;0;10;0;1;-5;8;-1;3;-4;1d4;2
149;Hawk;0;10;;13;5;-3;16;3;8;-1;2;-4;14;2;6;-2;1d4 - 1;1
150;Quipper;0;10;;13;2;-4;16;3;9;-1;1;-5;7;-2;2;-4;1d4 - 1;1
151;Weasel;0;10;;13;3;-4;16;3;8;-1;2;-4;12;1;3;-4;1d4 - 1;1
152;Bat;0;10;;12;2;-4;15;2;8;-1;2;-4;12;1;4;-3;1d4 - 1;1
153;Raven;0;10;;12;2;-4;14;2;8;-1;2;-4;12;1;6;-2;1d4 - 1;1
154;Spider;0;10;;12;2;-4;14;2;8;-1;1;-5;10;0;2;-4;1d4 - 1;1
155;Owl;0;10;;11;3;-4;13;1;8;-1;2;-4;12;1;7;-2;1d4 - 1;1
156;Frog;0;0;;11;1;-5;13;1;8;-1;1;-5;8;-1;3;-4;1d4 - 1;1
157;Sea Horse;0;0;;11;1;-5;12;1;8;-1;1;-5;10;0;2;-4;1d4 - 1;1
158;Scorpion;0;10;natural armor;11;2;-4;11;0;8;-1;1;-5;8;-1;2;-4;1d4 - 1;1
159;Rat;0;10;;10;2;-4;11;0;9;-1;2;-4;10;0;4;-3;1d4 - 1;1
